ie-id,ieenterprise-id,field name,Element Semantics,Element Data Type
905,6321,downstream-bytes,totalCounter,uint64
906,6321,upstreampercentage,quantity,uint8
907,6321,downstreampercentage,quantity,uint8
943,6321,bgp-stat-aid,identifier,string
944,6321,neighbor,identifier,string
945,6321,in-opens,quantity,uint64
946,6321,out-opens,quantity,uint64
947,6321,in-notifications,quantity,uint64
948,6321,out-notifications,quantity,uint64
949,6321,in-updates,quantity,uint64
950,6321,out-updates,quantity,uint64
951,6321,in-keepalives,quantity,uint64
952,6321,out-keepalives,quantity,uint64
953,6321,in-totalmessages,quantity,uint64
954,6421,out-totalmessages,quantity,uint64
955,6321,oper-state,runningCounter,string
956,6321,admin-state,runningCounter,string
978,6321,oper-speed,runningCounter,string
979,6321,tx-power,runningCounter,uint32
980,6321,tx-voltage,runningCounter,uint32
981,6321,tx-bias,runningCounter,float
982,6321,rx-availablebandwidth,runningCounter,uint64
983,6321,tx-opt-level,runningCounter,int16
984,6321,ne-opt-signallevel,runningCounter,int16
985,6321,range-length,runningCounter,uint32
986,6321,curr-version,runningCounter,string
987,6321,up-time,totalCounter,uint32
988,6321,tx-availablebandwidth,runningCounter,uint64
992,6321,cpu-usage,runningCounter,uint32
993,6321,uptime,totalCounter,string
994,6321,temp-sensor,runningCounter,float
1083,6321,vrf-name,identifier,string
1093,6321,vrf-name,identifier,string
1134,6321,bgpv6-stat-aid,identifier,string
1188,6321,vlan,identifier,int16
1196,6321,neighbor-v6,identifier,string
1200,6321,rx-fec-total-code-words,runningCounter,uint64
1201,6321,rx-fec-corrected-codewords,runningCounter,uint64.The received corrected codewords.
1202,6321,rx-fec-uncorrected-codewords,runningCounter,uint64
1203,6321,ONT-rg-total-aid,identifier,string
1204,6321,OLT-ontrg-bin-aid,identifier,string
1205,6321,ONT-fb-total-aid,identifier,string
1206,6321,ONT-pots-total-aid,identifier,string
1207,6321,ont-ua,identifier,uint8
1208,6321,OLT-ontpots-sip-serviceaid,identifier,string
1209,6321,sip-profile,identifier,string
1210,6321,service-status,runningCounter,string
1211,6321,hook-status,runningCounter,string
1212,6321,OLT-ontpots-mgcp-serviceaid,identifier,string
1213,6321,mgcp-profile,identifier,string
1214,6321,pon-ont-util-total-aid,identifier,string
1215,6321,upstreampon-rate,runningCounter,uint32
1216,6321,downstreampon-rate,runningCounter,uint32
1217,6321,vendor-part-number,runningCounter,string
1220,6321,ram-usage,runningCounter,uint32
1221,6321,available-memory,runningCounter,uint32
1222,6321,linked-pon,runningCounter,string
1223,6321,OLT-gemflow-bin-aid,default,string
2002,6321,receivedoptical-power,runningCounter,int32
2018,6321,mpls-stat-aid,identifier,string
2019,6321,ldp-peer,identifier,string
2020,6321,tx-initialization,quantity,uint64
2021,6321,rx-initialization,quantity,uint64
2022,6321,tx-address,quantity,uint64
2023,6321,rx-address,quantity,uint64
2024,6321,tx-address-withdraw,quantity,uint64
2025,6321,rx-address-withdraw,quantity,uint64
2026,6321,tx-label-mapping,quantity,uint64
2027,6321,rx-label-mapping,quantity,uint64
2028,6321,tx-label-withdraw,quantity,uint64
2029,6321,rx-label-withdraw,quantity,uint64
2030,6321,tx-label-release,quantity,uint64
2031,6321,rx-label-release,quantity,uint64
2032,6321,tx-label-request,quantity,uint64
2033,6421,rx-label-request,quantity,uint64
2034,6321,tx-label-abort-request,quantity,uint64
2035,6321,rx-label-abort-request,quantity,uint64
2036,6321,tx-notification,quantity,uint64
2037,6321,rx-notification,quantity,uint64
2038,6321,tx-keepalive,quantity,uint64
2039,6321,rx-keepalive,quantity,uint64
2040,6321,ospf-stat-aid,identifier,string
2041,6321,sample-time,quantity,uint32
2042,6321,rx-hello,number,uint64
2043,6321,tx-hello,number,uint64
2044,6321,rx-db-des,number,uint64
2045,6321,tx-db-des,number,uint64
2046,6321,rx-ls-req,number,uint64
2047,6321,tx-ls-req,number,uint64
2048,6321,rx-ls-upd,number,uint64
2049,6321,tx-ls-upd,number,uint64
2050,6321,rx-ls-ack,number,uint64
2051,6321,tx-ls-ack,number,uint64
2052,6321,route-summary-stataid,identifier,string
2053,6321,address-family,identifier,string
2054,6321,bgp,number,uint64
2055,6321,connected,number,uint64
2056,6321,isis,number,uint64
2057,6321,ospf,number,uint64
2058,6321,static,number,uint64
2059,6321,total,number,uint64
2060,6321,lldp-agent-aid,identifier,string
2061,6321,dest-agent,identifier,string
2062,6321,too-many-neighbors,runningCounter,uint8
2063,6321,tx-credit,totalCounter,uint8
2064,6321,tx-ttl,runningCounter,uint16
2065,6321,tx-ttr,runningCounter,uint16
2066,6321,tx-fast,runningCounter,uint8
2067,6321,tx-state,runningCounter,string
2068,6321,tx-tmr-state,runningCounter,string
2069,6321,rx-state,runningCounter,string
2070,6321,ageouts,totalCounter,uint64
2071,6321,in-discards,totalCounter,uint64
2072,6321,in-errors,totalCounter,uint64
2073,6321,in-total,totalCounter,uint64
2074,6321,out-total,totalCounter,uint64
2075,6321,tlvs-discarded,totalCounter,uint64
2076,6321,tlvs-unrecognized,totalCounter,uint64
2077,6321,pdu-length-errors,totalCounter,uint64
2078,6321,rate-violations,totalCounter,uint64
2079,6321,lldp-neighbor-aid,identifier,string
2080,6321,agent-reference,identifier,uint8
2081,6321,system-name-tlv,Identifier,string
2082,6321,port-id-tlv,identifier,string
2083,6321,management-address-tlv,identifier,string
2084,6321,ttl-tlv,runningCounter,uint16
2085,6321,rx-info-tlv,runningCounter,uint16
2086,6321,mib-changes,totalCounter,uint64
